Land Area,Trade flow,Commodity,Y2000,S_2000,Y2001,S_2001,Y2002,S_2002,Y2003,S_2003,Y2004,S_2004,Y2005,S_2005,Y2006,S_2006,Y2007,S_2007,Y2008,S_2008,Y2009,S_2009,Y2010,S_2010,Y2011,S_2011,Y2012,S_2012,Y2013,S_2013,Y2014,S_2014,Y2015,S_2015
Sudan,Export,Fish,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,155,,193,F,654,F,1120,F
Sudan (former),Export,Fish,99,,132,,1159,,1595,,2556,,2345,,59,,74,F,563,,591,,19,,230,,0,.,0,.,0,.,0,.
Swaziland,Export,Fish,1110,,724,,731,,492,,908,,457,,96,,69,,59,F,24,F,20,F,20,F,2,F,0,-,1,F,1,F
"Tanzania, United Rep. of",Export,Fish,40529,,41531,,38546,,44173,,49217,,42896,,37216,F,47677,,54467,,39465,,39611,,39704,,42004,,33687,,38342,,33119,
Togo,Export,Fish,6181,,9038,,8968,,7051,,6948,,6121,,5018,F,259,,2146,,3603,,485,,834,,36,F,108,F,190,,179,
Tunisia,Export,Fish,2297,,3498,,5144,,3199,,5183,,8395,,9692,,11999,,10709,,9852,,9732,,14182,,12733,,11561,,9743,,10455,
Uganda,Export,Fish,14499,,17013,,25125,,25406,,31327,,38371,,36120,,30872,,26552,,22535,,22711,,19421,,21182,,20183,,17530,,17814,
Zambia,Export,Fish,710,,980,,765,,613,,582,F,1032,,254,,240,,1817,,686,,430,,75,,53,,145,,228,,334,
Zimbabwe,Export,Fish,816,,936,F,712,,520,F,708,,563,,805,,1439,,1487,,966,,1137,,2056,,2516,,3255,,5878,,4972,
Antigua and Barbuda,Export,Fish,6,,111,F,61,F,83,F,67,F,49,,103,F,34,,84,F,50,,56,,102,,101,,62,,56,,40,F
Argentina,Export,Fish,227595,,210108,,274687,,312840,,368083,,351486,,362127,,306225,,289190,,328673,,307480,,287628,,252139,,240276,,244148,,219928,
